what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1405139332359
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405139332874
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405139333716
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405139338412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1405139347008
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405139347008
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405139347148
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1405139360673
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1405139360767
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1405139360829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139361250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139363763
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405139363779
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405139365323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139366072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139367320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405139367726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139370441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139922526
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405139930731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139935879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139936675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139938719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139972901
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405139972916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405139976005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183216097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183216768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183218469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183218906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183220154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183220560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183408693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183447963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405183669205
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405183677355
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1405183677355
