what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405219995627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405219995644
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405219996659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405219996665
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405219996683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1405220044077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405220044795
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220045762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220045771
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220045784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1405220059193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405220061228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1405220064588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405220066027
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220066891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220066899
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220066922
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220069074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220069079
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220069247
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220102946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220102950
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220103118
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220120525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220120529
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220120555
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405220129425
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220132576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405220132582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220132603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405220138647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220138914
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405220139459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405220143645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405220143654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405220145045
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1405220145083
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1405220146948
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220147035
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220147489
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220147875
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220148465
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220149608
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220150669
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1405220151964
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1405220156590
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220156673
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1405220157886
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1405220159398
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1405220159481
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1405220161824
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1405220163862
