what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218911361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218911841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218912229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218912557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218912831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405218913125
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405218939669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405218939674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405218939845
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405218952745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405218952750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405218952918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405218975030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405218997610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405218999191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405219078010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405219085462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405219089746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405219089936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1405219090176
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405219090990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405219090998
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405219091150
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1405219092933
