what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216094774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216223726
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1405216225622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216228085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216439391
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216486821
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216486897
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216493989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405216493996
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1405216494233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216494515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216495813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216502997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1405216518240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216520488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216524206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405216526827
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216527531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405216527540
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216527705
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216528977
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216549832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405216549837
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216550001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216551503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216558903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405216560185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405216560402
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216561062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405216561065
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405216561238
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216596521
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216596585
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216602155
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216602211
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216603484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216611653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216708146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216713250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216854762
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216855653
error,log,,,"The project description file (.project) for 'Assignment1' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1405216855804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216856086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216857013
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216859258
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216859321
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216860421
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216860658
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216860714
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216861224
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216861400
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216861794
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216861990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216862053
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216862433
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216862594
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1405216862936
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216863153
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405216863218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405216864238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217277148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217277894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217296766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217297366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217297721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217298093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217299119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217299278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217301134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217301453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217303966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217304318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217428285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217429469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217433609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217433754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217434271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217468689
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217483129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217486502
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217486790
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217486791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1405217486802
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217486988
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217486988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1405217486995
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217487942
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217487943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1405217487951
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217489031
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217489031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1405217489037
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405217491089
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405217523900
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217528514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405217528519
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217528672
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217540825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405217540830
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217540984
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217587469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405217587476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405217587495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217592269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217593141
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1405217611023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217628411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217724469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217729120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405217735847
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1405217808439
