what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1405234285773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234286493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234287034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234287161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234287857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234289601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405234289778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405234307396
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234317510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234317514
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234317668
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234327191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234327197
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234327330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234329915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234350894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234353988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234366152
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234384684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405234394862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234397111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234398188
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234399775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234399783
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234399933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234400770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234402097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234403848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234411721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405234438044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234442243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234445760
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234457131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234457135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234457292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234460219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234478655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234480350
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234480481
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234480599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405234483582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234485276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234485300
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234485435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234487798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234490807
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405234490819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234493070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234494320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405234495099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234512661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234512674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234512827
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405234516565
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405234520168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1405234556922
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234558754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234558759
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234558916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405234568151
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234577291
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234577459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234577640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405234577964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405234583480
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234589914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405234589919
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405234590077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405234614393
