what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405191651941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405191653046
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1405191658944
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1405191658955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405191659182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405191665726
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405191667781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405191667787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405191667952
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405191679445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405191679450
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405191679598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405191681483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405191859807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405191866549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405191867500
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1405191868086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405191872378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192017781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192067847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192076684
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192077971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192089930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192093319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405192099832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405192101368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405192115358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405192124312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405192126823
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192127623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405192127627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192127796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192129330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192135992
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192139251
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192145119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192154680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192173927
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192183600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405192207523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405192207997
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405192224932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405192225299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1405192225818
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405192228117
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405192229938
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405192230058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192231730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405192231734
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192231919
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192234104
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192234157
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192235495
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405192237572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405192244810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1405192251589
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192253183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405192253187
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192253353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192255042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192258758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192260128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192559943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192561301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192562633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192565651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192569219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192575234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192576651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192579717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192635810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1405192655855
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1405192655983
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1405192656127
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405192656655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1405192657058
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405192659808
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1405192659943
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192660761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405192660765
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405192660914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192661721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405192662388
