what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1405272051774
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1405272051774
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1405272051774
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1405272051774
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1405272051774
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1405272051774
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1405272051774
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1405272051774
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1405272051774
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1405272051774
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1405272051774
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1405272051774
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1405272051774
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1405272051774
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1405272051774
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1405272051774
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1405272051774
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1405272051774
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1405272051789
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1405272051789
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1405272051789
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1405272051789
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1405272051789
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1405272051789
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1405272051789
os,sysinfo,,,"win32",1405272051789
arch,sysinfo,,,"x86",1405272051789
ws,sysinfo,,,"win32",1405272051789
locale,sysinfo,,,"en_US",1405272051789
processors,sysinfo,,,"2",1405272051789
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1405272051789
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1405272051789
java.specification.name,sysinfo,,,"Java Platform API Specification",1405272051789
java.specification.vendor,sysinfo,,,"Oracle Corporation",1405272051789
java.specification.version,sysinfo,,,"1.7",1405272051789
java.vendor,sysinfo,,,"Oracle Corporation",1405272051789
java.version,sysinfo,,,"1.7.0_60",1405272051789
java.vm.info,sysinfo,,,"mixed mode, sharing",1405272051789
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1405272051789
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405272051789
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1405272051789
java.vm.specification.version,sysinfo,,,"1.7",1405272051789
java.vm.vendor,sysinfo,,,"Oracle Corporation",1405272051789
java.vm.version,sysinfo,,,"24.60-b09",1405272051789
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1405272054129
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1405272054395
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1405272054395
